token_0,BIO_tag_0
mulyono,b-nama
 ,O
wiyono,b-nama
 ,O
moch,b-nama
 ,O
suryanto,b-nama
 ,O
mudji,b-nama
 ,O
suhartono,b-nama
 ,O
riyana,b-nama
 ,O
ginandjar,b-nama
 ,O
hardjapamekas,b-nama
 ,O
permadi,b-nama
 ,O
arismunandar,b-nama
 ,O
supriatna,b-nama
 ,O
hamdani,b-nama
 ,O
dadang,b-nama
 ,O
suparman,b-nama
 ,O
kurniadi,b-nama
 ,O
subekti,b-nama
 ,O
akhmad,b-nama
 ,O
acep,b-nama
 ,O
anung,b-nama
 ,O
rully,b-nama
 ,O
ginanjar,b-nama
 ,O
dwimas,b-nama
 ,O
angga,b-nama
 ,O
saputro,b-nama
 ,O
satrio,b-nama
 ,O
syaiful,b-nama
 ,O
firmansyah,b-nama
 ,O
arief,b-nama
 ,O
andri,b-nama
 ,O
pambudi,b-nama
 ,O
gunadi,b-nama
 ,O
sofwan,b-nama
 ,O
sulaeman,b-nama
 ,O
suwandi,b-nama
 ,O
alfian,b-nama
 ,O
indrawan,b-nama
 ,O
wibowo,b-nama
 ,O
susanto,b-nama
 ,O
novia,b-nama
 ,O
aulia,b-nama
 ,O
safitri,b-nama
 ,O
rizki,b-nama
 ,O
gondo,b-nama
 ,O
suyitno,b-nama
 ,O
sugito,b-nama
 ,O
bawono,b-nama
 ,O
wijoyo,b-nama
 ,O
hardjakusumah,b-nama
 ,O
djojo,b-nama
 ,O
ario,b-nama
 ,O
gph,b-nama
 ,O
cokro,b-nama
 ,O
soeria,b-nama
 ,O
koesoemah,b-nama
 ,O
adji,b-nama
 ,O
asikin,b-nama
 ,O
adiningrat,b-nama
 ,O
aryo,b-nama
 ,O
kesuma,b-nama
 ,O
kolopaking,b-nama
 ,O
adri,b-nama
 ,O
millyena,b-nama
 ,O
parahitha,b-nama
 ,O
agustina,b-nama
 ,O
kusno,b-nama
 ,O
soni,b-nama
 ,O
koswara,b-nama
 ,O
broto,b-nama
 ,O
moward,b-nama
 ,O
drh,b-nama
 ,O
suardi,b-nama
 ,O
soediro,b-nama
 ,O
suyud,b-nama
 ,O
priasmoro,b-nama
 ,O
kusnan,b-nama
 ,O
sonjaya,b-nama
 ,O
pryitno,b-nama
 ,O
efendi,b-nama
 ,O
adinata,b-nama
 ,O
condro,b-nama
 ,O
maktal,b-nama
 ,O
wiku,b-nama
 ,O
hurip,b-nama
 ,O
jumeneng,b-nama
 ,O
hayuning,b-nama
 ,O
abiyoso,b-nama
 ,O
danu,b-nama
 ,O
kosasih,b-nama
 ,O
wardoyo,b-nama
 ,O
atmo,b-nama
 ,O
wahono,b-nama
 ,O
joyo,b-nama
 ,O
merto,b-nama
 ,O
ngabehi,o
 ,O
soerjo,b-nama
 ,O
sindu,b-nama
 ,O
odang,b-nama
 ,O
nirwandar,b-nama
 ,O
oesman,b-nama
 ,O
sembiring,o
 ,O
adhi,o
 ,O
indra,o
 ,O
inderanya,o
 ,O
niskala,o
 ,O
teja,o
 ,O
darjah,o
 ,O
laya,o
 ,O
buana,o
 ,O
graha,o
 ,O
bahana,o
 ,O
kencana,o
 ,O
caraka,o
 ,O
amik,o
 ,O
stisip,o
 ,O
ully,o
 ,O
widjaja,o
 ,O
hapsari,o
 ,O
yuliana,b-nama
 ,O
dwi,b-nama
 ,O
ayuningtyas,b-nama
 ,O
prasetya,b-nama
 ,O
budianta,b-nama
 ,O
setianagara,o
 ,O
atmaka,o
 ,O
tut,b-nama
 ,O
lwir,o
 ,O
ngr,o
 ,O
nganggo,o
 ,O
pantes,o
 ,O
tentrem,o
 ,O
prakara,o
 ,O
sadaya,o
 ,O
wicaksana,o
 ,O
wanagiri,o
 ,O
sugih,o
 ,O
jina,o
 ,O
buddhi,o
 ,O
jnana,o
 ,O
raksaka,o
 ,O
sariputra,o
 ,O
lingbao,o
 ,O
iswara,o
 ,O
acarya,o
 ,O
sutta,o
 ,O
abhidhamma,o
 ,O
vipassana,o
 ,O
sakyamuni,o
 ,O
satipatthana,o
 ,O
nikaya,o
 ,O
samadhi,o
 ,O
tipitaka,o
 ,O
maitreya,o
 ,O
buddha,o
 ,O
fkip,o
 ,O
gunadarma,o
 ,O
uny,o
 ,O
atmajaya,o
 ,O
uninus,o
 ,O
angling,o
 ,O
dumex,o
 ,O
datubara,o
 ,O
pramudya,o
 ,O
prajnaparamita,o
 ,O
saraswati,b-nama
 ,O
bhavana,o
 ,O
cetiya,o
 ,O
prajÃƒÂ±Ã„ï†pÃ„ï†ramitÃ„ï†,o
 ,O
usnisa,o
 ,O
makayasa,o
 ,O
danyonif,o
 ,O
danki,o
 ,O
kodiklatad,o
 ,O
yonarhanud,o
 ,O
rindam,o
 ,O
wirasada,o
 ,O
danrem,o
 ,O
baktinya,o
 ,O
taruna,o
 ,O
pengabdian,o
 ,O
purna,o
 ,O
loka,o
 ,O
sewaka,o
 ,O
satyalancana,o
 ,O
lancana,o
 ,O
satyalencana,o
 ,O
sistha,o
 ,O
dwidya,o
 ,O
nararya,o
 ,O
mahaputra,o
 ,O
pxsatyalancana,o
 ,O
lencana,o
 ,O
primagama,o
 ,O
stmik,o
 ,O
beraban,o
 ,O
geni,o
 ,O
antang,o
 ,O
kemuning,o
 ,O
kidang,o
 ,O
bodas,o
 ,O
baladhika,o
 ,O
zipur,o
 ,O
prasada,o
 ,O
kertarajasa,o
 ,O
saÃ…â€¹,o
 ,O
bethara,o
 ,O
sudibya,o
 ,O
Ã¡Â¹Â¡rÃ„,o
Â«,o
 ,O
biring,o
 ,O
sakanti,o
 ,O
karso,o
 ,O
narasinga,o
 ,O
manasa,o
 ,O
sandhi,o
 ,O
yon,o
 ,O
dhuaja,o
 ,O
cakti,o
 ,O
stkip,o
 ,O
stie,o
 ,O
rsu,o
 ,O
kebidanan,o
 ,O
keperawatan,o
 ,O
sekretari,o
 ,O
rsb,o
 ,O
hermina,o
 ,O
siwi,o
 ,O
bsi,o
 ,O
grha,o
 ,O
lippo,o
 ,O
stimik,o
 ,O
pgri,o
 ,O
supriadi,b-nama
 ,O
rukman,b-nama
 ,O
tohir,b-nama
 ,O
sunandar,b-nama
 ,O
mulyanto,b-nama
 ,O
pepen,b-nama
 ,O
ujang,b-nama
 ,O
suyono,b-nama
 ,O
sumarto,b-nama
 ,O
sunardi,b-nama
 ,O
yoyok,b-nama
 ,O
solihin,b-nama
 ,O
sukardi,b-nama
 ,O
sumarno,b-nama
 ,O
sumardi,b-nama
 ,O
sanyoto,b-nama
 ,O
soeparno,b-nama
 ,O
ramdani,b-nama
 ,O
kiswanto,b-nama
 ,O
lestaluhu,b-nama
 ,O
yudhi,b-nama
 ,O
novan,b-nama
 ,O
mirasih,b-nama
 ,O
inggrid,b-nama
 ,O
ririn,b-nama
 ,O
winda,b-nama
 ,O
febiola,b-nama
 ,O
hesti,b-nama
 ,O
hadju,b-nama
 ,O
anjani,b-nama
 ,O
laksmi,b-nama
 ,O
ratri,b-nama
 ,O
komala,b-nama
 ,O
krisna,b-nama
 ,O
sundari,b-nama
 ,O
galih,b-nama
 ,O
kerendahan,o
 ,O
kemurahan,o
 ,O
endi,o
 ,O
pudji,o
 ,O
nurfitriyana,o
 ,O
triarona,o
 ,O
cahyani,b-nama
 ,O
rahmawati,b-nama
 ,O
yulianti,b-nama
 ,O
rizka,b-nama
 ,O
annisa,b-nama
 ,O
damayanti,b-nama
 ,O
ramadhani,b-nama
 ,O
wulansari,b-nama
 ,O
oktaviani,b-nama
 ,O
febriani,b-nama
 ,O
yuli,b-nama
 ,O
evi,b-nama
 ,O
wulandari,b-nama
 ,O
fitriana,b-nama
 ,O
indrawati,b-nama
 ,O
redjeki,b-nama
 ,O
mulyati,b-nama
 ,O
maryati,b-nama
 ,O
nanik,b-nama
 ,O
dita,b-nama
 ,O
fitria,b-nama
 ,O
larasati,b-nama
 ,O
diah,b-nama
 ,O
rhesa,b-nama
 ,O
juwita,b-nama
 ,O
heni,b-nama
 ,O
yunita,b-nama
 ,O
itje,o
 ,O
sagita,b-nama
 ,O
rekso,o
 ,O
urip,o
 ,O
karto,o
 ,O
pucung,o
 ,O
gunungsari,o
 ,O
anyar,o
 ,O
tlogo,o
 ,O
kepuh,o
 ,O
tapen,o
 ,O
pabuaran,o
 ,O
kamituwo,o
 ,O
modin,o
 ,O
ladu,o
 ,O
kebayan,o
 ,O
kades,o
 ,O
petengan,o
 ,O
kebonsari,o
 ,O
sumberan,o
 ,O
duwet,o
 ,O
mayang,o
 ,O
winangun,o
 ,O
linggo,o
 ,O
tirta,o
 ,O
pudak,o
 ,O
karangrejo,o
 ,O
sumbersari,o
 ,O
sambirejo,o
 ,O
wonokerto,o
 ,O
sanggrahan,o
 ,O
wonorejo,o
 ,O
jetak,o
 ,O
jatisari,o
 ,O
sumberejo,o
 ,O
karangsari,o
 ,O
krandon,o
 ,O
papringan,o
 ,O
ngentak,o
 ,O
banjarejo,o
 ,O
sendangsari,o
 ,O
pasuruhan,o
 ,O
kalirejo,o
 ,O
trukan,o
 ,O
slempung,o
 ,O
jitar,o
 ,O
janggleng,o
 ,O
badran,o
 ,O
sidomulyo,o
 ,O
sidorejo,o
 ,O
sidoharjo,o
 ,O
margorejo,o
 ,O
kebonagung,o
 ,O
hutomo,o
 ,O
palupi,o
 ,O
alivia,b-nama
 ,O
novyansari,b-nama
 ,O
dwijayanti,b-nama
 ,O
reinaldi,b-nama
 ,O
yuniar,b-nama
 ,O
dhini,b-nama
 ,O
leily,b-nama
 ,O
febri,b-nama
 ,O
tomi,b-nama
 ,O
nunung,b-nama
 ,O
dinda,b-nama
 ,O
ningsih,b-nama
 ,O
shinta,b-nama
 ,O
indri,b-nama
 ,O
yanti,b-nama
 ,O
arman,b-nama
 ,O
burhan,b-nama
 ,O
sasmita,b-nama
 ,O
mutia,b-nama
 ,O
niken,b-nama
 ,O
mieke,b-nama
 ,O
nyimas,b-nama
 ,O
widyawati,b-nama
 ,O
borosngora,o
 ,O
rahyang,o
 ,O
hyang,o
 ,O
kancana,o
 ,O
wastu,o
 ,O
batara,o
 ,O
kahyangan,o
 ,O
widayanti,o
 ,O
kesawa,o
 ,O
jayabhupati,o
 ,O
natha,o
 ,O
jinggan,o
 ,O
moorthi,o
 ,O
wasa,o
 ,O
rajapatni,o
 ,O
tetuko,o
 ,O
pedanda,o
 ,O
tegeh,o
 ,O
jro,o
 ,O
ketut,o
 ,O
anglurah,o
 ,O
nisweng,o
 ,O
sirarya,o
 ,O
sagung,o
 ,O
hargo,o
 ,O
sekartaji,o
 ,O
anoman,o
 ,O
obong,o
 ,O
suradipati,o
 ,O
wungu,o
 ,O
gkr,o
 ,O
siwa,o
 ,O
durga,o
 ,O
sukesi,o
 ,O
kunti,o
 ,O
lanjar,o
 ,O
brahma,o
 ,O
wisnu,b-nama
 ,O
ganesa,o
 ,O
kasyapa,o
 ,O
Ã…â€ºrÃ„,o
Â«,o
 ,O
manikmaya,o
 ,O
batari,o
 ,O
parameswara,o
 ,O
rara,o
 ,O
roro,o
 ,O
nyai,o
 ,O
blorong,o
 ,O
jaka,o
 ,O
eyang,o
 ,O
mendut,o
 ,O
tarub,o
 ,O
pembayun,o
 ,O
tjondrolukito,o
 ,O
luh,o
 ,O
dumilah,o
 ,O
kencono,o
 ,O
pramesti,o
 ,O
kenanga,o
 ,O
banjur,o
 ,O
simbar,o
 ,O
petung,o
 ,O
teleng,o
 ,O
sampun,o
 ,O
sutikno,o
 ,O
djajang,o
 ,O
adjat,o
 ,O
iurie,o
 ,O
paryono,o
 ,O
subandi,o
 ,O
murod,o
 ,O
supriyadi,o
 ,O
suharno,o
 ,O
kejantanan,o
 ,O
kegagahan,o
 ,O
keberanian,o
 ,O
kepahlawanan,o
 ,O
kesabaran,o
 ,O
kegigihan,o
 ,O
kedisiplinan,o
 ,O
kemurnian,o
 ,O
kekudusan,o
 ,O
kesempurnaan,o
 ,O
kesalehan,o
 ,O
ketaatan,o
 ,O
kebajikan,o
 ,O
kemuliaan,o
 ,O
surgawi,o
 ,O
kemegahan,o
 ,O
hikmat,o
 ,O
sulistyono,o
 ,O
tandyo,o
 ,O
dyego,o
 ,O
mahasakti,o
 ,O
daryati,o
 ,O
limanto,o
 ,O
zulqodri,o
 ,O
ariansyah,o
 ,O
mursito,o
 ,O
wanodya,o
 ,O
supriyatno,o
 ,O
antoro,o
 ,O
haryoko,o
 ,O
santiarto,o
 ,O
jupriyadi,o
 ,O
ikhsan,b-nama
 ,O
fikri,b-nama
 ,O
ihsan,b-nama
 ,O
rohman,b-nama
 ,O
fadhilah,b-nama
 ,O
qomar,b-nama
 ,O
fadhil,b-nama
 ,O
ichsan,b-nama
 ,O
fauzan,b-nama
 ,O
zein,b-nama
 ,O
rochman,b-nama
 ,O
fahmi,b-nama
 ,O
muchtar,b-nama
 ,O
zaki,b-nama
 ,O
munawar,b-nama
 ,O
makmun,b-nama
 ,O
lutfi,b-nama
 ,O
tarore,b-nama
 ,O
syifa,b-nama
 ,O
basir,b-nama
 ,O
hafiz,b-nama
 ,O
saifudin,b-nama
 ,O
afandi,b-nama
 ,O
latif,b-nama
 ,O
kholid,b-nama
 ,O
muh,b-nama
 ,O
mustofa,b-nama
 ,O
muslih,b-nama
 ,O
cahyadi,b-nama
 ,O
ryaas,b-nama
 ,O
yaqin,b-nama
 ,O
buchori,b-nama
 ,O
miftah,b-nama
 ,O
hasanah,b-nama
 ,O
jufri,b-nama
 ,O
choirul,b-nama
 ,O
abdillah,b-nama
 ,O
amri,b-nama
 ,O
muhamad,b-nama
 ,O
sabri,b-nama
 ,O
husaini,b-nama
 ,O
nizar,b-nama
 ,O
yasin,b-nama
 ,O
ridwan,b-nama
 ,O
rifai,b-nama
 ,O
rozi,b-nama
 ,O
akmal,b-nama
 ,O
fauziah,b-nama
 ,O
afiq,b-nama
 ,O
thoriq,b-nama
 ,O
farhan,b-nama
 ,O
nasrullah,b-nama
 ,O
muhidin,b-nama
 ,O
hidayati,b-nama
 ,O
syamsul,b-nama
 ,O
fuad,b-nama
 ,O
farid,b-nama
 ,O
nasrul,b-nama
 ,O
idham,b-nama
 ,O
zulfikar,b-nama
 ,O
husin,b-nama
 ,O
syukri,b-nama
 ,O
hambali,b-nama
 ,O
dimyati,b-nama
 ,O
cholil,b-nama
 ,O
sholeh,b-nama
 ,O
abdurahman,b-nama
 ,O
assegaf,b-nama
 ,O
alfin,b-nama
 ,O
alatas,b-nama
 ,O
syafaruddin,b-nama
 ,O
fairuz,b-nama
 ,O
rahmi,b-nama
 ,O
azizah,b-nama
 ,O
aqilah,b-nama
 ,O
rifky,b-nama
 ,O
jihan,b-nama
 ,O
fajri,b-nama
 ,O
sefira,b-nama
 ,O
fathir,b-nama
 ,O
ramli,b-nama
 ,O
faizal,b-nama
 ,O
zain,b-nama
 ,O
imran,b-nama
 ,O
sharifah,b-nama
 ,O
syafiq,b-nama
 ,O
anuar,b-nama
 ,O
burhanudin,b-nama
 ,O
mawardi,b-nama
 ,O
zainudin,b-nama
 ,O
anshari,b-nama
 ,O
hamdi,b-nama
 ,O
jaelani,b-nama
 ,O
baharuddin,b-nama
 ,O
gafur,b-nama
 ,O
manan,b-nama
 ,O
rauf,b-nama
 ,O
gani,b-nama
 ,O
muis,b-nama
 ,O
ghani,b-nama
 ,O
sattar,b-nama
 ,O
abdurrahim,b-nama
 ,O
subhan,b-nama
 ,O
ghozali,b-nama
 ,O
moh,b-nama
 ,O
syamsuddin,b-nama
 ,O
bisri,b-nama
 ,O
imron,b-nama
 ,O
anshori,b-nama
 ,O
rahma,b-nama
 ,O
lukum,b-nama
 ,O
irham,b-nama
 ,O
randa,b-nama
 ,O
fionista,b-nama
 ,O
salsabila,b-nama
 ,O
susilodinata,b-nama
 ,O
fikrul,b-nama
 ,O
kapriaga,b-nama
 ,O
jbr,b-nama
 ,O
budarsa,b-nama
 ,O
ainul,b-nama
 ,O
ilmi,b-nama
 ,O
jannah,b-nama
 ,O
husna,b-nama
 ,O
izzah,b-nama
 ,O
huda,b-nama
 ,O
bughury,b-nama
 ,O
hasni,b-nama
 ,O
ghazali,b-nama
 ,O
badru,b-nama
 ,O
ghifari,b-nama
 ,O
abidzar,b-nama
 ,O
uswatun,b-nama
 ,O
segaf,b-nama
 ,O
rasyid,b-nama
 ,O
jamaluddin,b-nama
 ,O
muhtadi,b-nama
 ,O
muzammil,b-nama
 ,O
zaenal,b-nama
 ,O
khairul,b-nama
 ,O
adib,b-nama
 ,O
taufik,b-nama
 ,O
jayadi,b-nama
 ,O
syahrul,b-nama
 ,O
munir,b-nama
 ,O
saiful,b-nama
 ,O
helmi,b-nama
 ,O
bachtiar,b-nama
 ,O
taher,b-nama
 ,O
abrar,b-nama
 ,O
nadira,b-nama
 ,O
fahira,b-nama
 ,O
mardiana,b-nama
 ,O
astri,b-nama
 ,O
azwan,b-nama
 ,O
liyana,b-nama
 ,O
muiz,b-nama
 ,O
amini,b-nama
 ,O
yusoff,b-nama
 ,O
ariff,b-nama
 ,O
fariha,b-nama
 ,O
faridah,b-nama
 ,O
niezam,b-nama
 ,O
fachri,b-nama
 ,O
naufal,b-nama
 ,O
iqbal,b-nama
 ,O
ferdy,b-nama
 ,O
samsudin,b-nama
 ,O
priyanto,b-nama
 ,O
ernawati,b-nama
 ,O
setyowati,b-nama
 ,O
sunarti,b-nama
 ,O
kurniawati,b-nama
 ,O
septiana,b-nama
 ,O
luthfi,b-nama
 ,O
basri,b-nama
 ,O
rustam,b-nama
 ,O
sahlan,b-nama
 ,O
chalid,b-nama
 ,O
usman,b-nama
 ,O
chatib,b-nama
 ,O
zainuddin,b-nama
 ,O
djamal,b-nama
 ,O
ust,b-nama
 ,O
hanafi,b-nama
 ,O
syafii,b-nama
 ,O
sujono,b-nama
 ,O
soepardi,b-nama
 ,O
siddiq,b-nama
 ,O
mahfudz,b-nama
 ,O
soleh,b-nama
 ,O
ustadz,b-nama
 ,O
hafidz,b-nama
 ,O
tgh,b-nama
 ,O
kamaruddin,b-nama
 ,O
alwi,b-nama
 ,O
oky,b-nama
 ,O
irwansyah,b-nama
 ,O
muchsin,b-nama
 ,O
rafiq,b-nama
 ,O
albar,b-nama
 ,O
brado,b-nama
 ,O
hariyanti,b-nama
 ,O
nurafni,b-nama
 ,O
fahrin,b-nama
 ,O
bachmid,b-nama
 ,O
nazril,b-nama
 ,O
rizkiridho,b-nama
 ,O
adly,b-nama
 ,O
sungkar,b-nama
 ,O
shireen,b-nama
 ,O
syakieb,b-nama
 ,O
syarief,b-nama
 ,O
zacky,b-nama
 ,O
mirdad,b-nama
 ,O
riska,b-nama
 ,O
novita,b-nama
 ,O
berliana,b-nama
 ,O
zahra,b-nama
 ,O
anisa,b-nama
 ,O
nabila,b-nama
 ,O
senin,b-hari
 ,O
selasa,b-hari
 ,O
sabtu,b-hari
 ,O
kamis,b-hari
 ,O
jumat,b-hari
 ,O
rabu,b-hari
 ,O
ahad,b-hari
 ,O
makassar,b-lokasi
 ,O
manado,b-lokasi
 ,O
ambon,b-lokasi
 ,O
kendari,b-lokasi
 ,O
palembang,b-lokasi
 ,O
makasar,b-lokasi
 ,O
balikpapan,b-lokasi
 ,O
gorontalo,b-lokasi
 ,O
ternate,b-lokasi
 ,O
banjarmasin,b-lokasi
 ,O
parepare,b-lokasi
 ,O
bitung,b-lokasi
 ,O
tomohon,b-lokasi
 ,O
sibolga,b-lokasi
 ,O
kupang,b-lokasi
 ,O
pontianak,b-lokasi
 ,O
tual,b-lokasi
 ,O
maluku,b-lokasi
 ,O
masohi,b-lokasi
 ,O
tidore,b-lokasi
 ,O
haruku,b-lokasi
 ,O
baubau,b-lokasi
 ,O
palopo,b-lokasi
 ,O
palangkaraya,b-lokasi
 ,O
mamuju,b-lokasi
 ,O
pekanbaru,b-lokasi
 ,O
jambi,b-lokasi
 ,O
bengkulu,b-lokasi
 ,O
surabaya,b-lokasi
 ,O
tanjungpinang,b-lokasi
 ,O
dumai,b-lokasi
 ,O
medan,b-lokasi
 ,O
ujungpandang,b-lokasi
 ,O
hanlan,b-lokasi
 ,O
menado,b-lokasi
 ,O
tarakan,b-lokasi
 ,O
samarinda,b-lokasi
 ,O
bontang,b-lokasi
 ,O
tenggarong,b-lokasi
 ,O
singkawang,b-lokasi
 ,O
sulawesi,b-lokasi
 ,O
sulsel,b-lokasi
 ,O
tolitoli,b-lokasi
 ,O
jailolo,b-lokasi
 ,O
bacan,b-lokasi
 ,O
gowa,b-lokasi
 ,O
buton,b-lokasi
 ,O
malaka,b-lokasi
 ,O
sulu,b-lokasi
 ,O
martapura,b-lokasi
 ,O
banjarbaru,b-lokasi
 ,O
persipare,b-lokasi
 ,O
takalar,b-lokasi
 ,O
kotamobagu,b-lokasi
 ,O
luwuk,b-lokasi
 ,O
saumlaki,b-lokasi
 ,O
amurang,b-lokasi
 ,O
pematangsiantar,b-lokasi
 ,O
bajawa,b-lokasi
 ,O
tentena,b-lokasi
 ,O
