No Document,Description,W,Keyword W,Keyword BOW,Keyword Gabung,hasilW,Kemiripan,True Positif,True Negative
158,artis dangdut terjerat penyalahgunaan narkotika resmi menjalani rehabilitasi direhabilitasi bnnk jaksel kasat narkoba polres metro jakarta selatan kompol ahmad akbar konfirmasi minggu velline chu ditetapkan tersangka narkoba jenis sabu velline chu mengajukan permohonan rehabilitasi narkoba permohonan rehabilitasi akbp ahmad akbar konfirmasi selasa polisi alasan velline chu mengkonsumsi sabu kekerasan rumah tangga kdrt mantan suaminya dalih velline chu memakai sabu alasannya menghilangkan trauma sakit bersangkutan mengalami kdrt suaminya kabid humas polda metro jaya kombes zulpan velline chu ditangkap satuan narkoba polres metro jakarta selatan ditangkap rumahnya perumahan citra grand jatikarya bekasi sabtu velline chu ditangkap bareng suaminya bernama budi hartono berdasarkan pemeriksaan tes urine berdua berdua positif narkoba jenis sabu kabid humas polda metro jaya kombes endra zulpan polres jaksel senin velline chu penyanyi dangdut single lagu berjudul begal cinta membuatnya dijuluki ratu begal,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",['pemeriksaan'],[0.07488309], , 
159,insiden dilansir afp jumat insiden kepala polisi collierville dale lane korban tewas pelaku penembakan dilaporkan bunuh aksinya luka tembak dale lane wartawan lane korban mengalami luka serius memperingatkan korban tragedi meningkat kekuatan s w a t tim berkumpul supermarket mengamankan daerah polisi pergi lorong lorong membantu karyawan pembeli mengevakuasi gedung lane kabarnya penembakan lokasi dipicu kerusuhan toko kelontong kroger menggambarkan kejadian mengerikan toko mengaku menemukan orang orang bersembunyi lemari es kantor terkunci lane pelaku penembakan karyawan kroger menyebut insiden penembakan diselidiki fbi lembaga,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['aksi', 'aksinya', 'kekuatan']",[0.20842197], , 
160,pria kediri pelaku rianto dusun bangunmulyo desa pojok wates kabupaten kediri pelaku membacok ibunya kedengar bertengkar ibunya dibacok ibunya adiknya tetangga dibacok orang misah dibacok aris setiawan warga saksi mata peristiwa wib orang korban pembacokan pelaku dilaporkan tewas pelaku aris pelaku pembacokan membabi buta menghitung korbannya menyebut orang dibawa rumah sakit orang tewas dibacok rumah dibacok orang meninggal infonya bertambah aris,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['aksi', 'wib', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya']",[0.35519921], , 
161,polisi menangkap orang diduga pelaku keempat orang ditangkap ah ad ca jh orang ditangkap lokasi persembunyian kawasan kecamatan pasie raya aceh jaya ah tewas ditembak polisi kabid humas polda aceh kombes winardy menyebut keempat pelaku berbeda jh memantau pelaku ah ad diduga keras perencana penembakan pospol winardy wartawan selasa winardy penggerebekan lokasi persembunyian ketiga pelaku polisi pengintaian pekan proses penangkapan ketiga pelaku tim gabungan ditreskrimum polda aceh satreskrim polres aceh barat densus satgaswil aceh senin proses penangkapan ad menusuk polisi sangkur polisi ditusuk mengalami luka ketiak kiri ad ditembak kakinya,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['diduga', 'mata']",[0.34826302], , 
162,bank investasi credit suisse menghadapi dakwaan pengadilan swiss mengizinkan komplotan penyelundup kokain bulgaria mencuci jutaan euro dimasukkan koper sidang dijadwalkan senin waktu jaksa swiss credit suisse salah mantan relationship manager mengerahkan kemampuannya mencegah tersangka penyelundup narkoba menyembunyikan mencuci uang credit suisse menolak tuduhan warisan diajukan mantan karyawannya bersalah bank pernyataan disadur sidang pidana bank swiss jaksa menuntut juta franc swiss kompensasi credit suisse surat dakwaan mencapai halaman berpusat hubungan dimiliki credit suisse mantan karyawannya mantan pegulat bulgaria evelin banev rekanan didakwa dakwaan mendakwa mantan relationship manager julius baer memfasilitasi pencucian uang perwakilan hukum mantan karyawan credit suisse namanya berdasarkan undang undang privasi swiss dibenarkan kliennya membantah kesalahan pengacara tersangka anggota komplotan menghadapi tuduhan penyelewengan penipuan pemalsuan dokumen pengadilan federal swiss namanya undang undang privasi swiss menolak berkomentar pengacara mantan manajer hubungan julius baer menanggapi permintaan komentar banev menghadapi dakwaan swiss dihukum perdagangan narkoba italia bulgaria organisasi kriminal aktif perdagangan berton ton kokain amerika latin menghilang ditangkap september ukraina banev perwakilan hukumnya dihubungi komentar pengacara mewakili banev persidangannya bulgaria mewakilinya julius baer menghadapi tuntutan menolak berkomentar,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",['aris'],[0.09837388], , 
163,menangkap orang komplotan pemeras pelaku kerap mengincar kapolsek cilandak kompol m agung permana pelaku kali pemerasan beraksi melaksanakan aksi kali lintasan kerap keempat pelaku berinisial jh ry ir rz komplotan kerap mengincar terungkap laporan sopir truk korban pemalakan pelaku sabtu menerima laporan polisi penyelidikan polisi penyisiran patroli titik titik diduga lokasi aksi pemalakan pelaku hasilnya selasa orang pelaku berhasil ditangkap tersangka ditangkap pemerasan mobil truk pengangkut tanah penangkapan pelaku inisial rz berhasil melarikan lokasi rz otak komplotan agung menyebut pelarian rz besok harinya rabu pelaku rz berhasil ditangkap daerah ciledug keempat pelaku dibawa polsek cilandak keterangan komplotan sopir truk istirahat perbuatannya pelaku ditetapkan tersangka ditahan polsek cilandak pelaku dijerat pasal kuhp pemerasan ancaman penjara,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['aksi', 'diduga']",[0.44791401], , 
164,foto potongan telapak tangan manusia taman bumi wangi kudus jawa viral media sosial telapak tangan milik korban pembegalan dibacok pelaku gegara melawan motornya dirampas ya kerja pulang indra sekelompok pemuda mendatanginya pelaku orang mengambil kunci sepeda motornya indra melawan bawa senjata tajam kena bawa celurit orang orang jaga orang beraksi sambungnya indra menyadari pergelangan tangannya putus akibat sabetan celurit menganiaya indra pelaku memaksanya menyerahkan handphone melawan sadar tangan putus hp motor ditendang indra warga kecamatan mejobo kudus dirawat rsud kudus mengalami luka putus pergelangan tangan kiri luka bacok pinggang kiri luka lengan bawa motor bebek wajahnya rambutnya poni pakai masker hitam usia smp muda wajahnya pungkas foto potongan telapak tangan manusia taman bumi wangi kudus jawa viral media sosial polisi potongan tangan tubuh korban begal foto beredar media sosial potongan telapak tangan tergeletak jalan darah pergelangan tangan putus dituliskan diduga kejadian korban pembacokan lokasi kejadian taman bumi wangi jekulo konfirmasi kapolsek jekulo akp bambang sutaryo membenarkan kejadian begal jalan kudus pati tepatnya taman bumi wangi desa jekulo kecamatan jekulo kamis korban pemuda bernama indra warga mejobo terkait kejadian begal pelaku pakai sepeda motor bambang dihubungi siang,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['aksi', 'diduga', 'mata', 'mengambil']",[0.1774713], , 
165,lp melaporkan pelaku polisi pelaku ditangkap polisi rumahnya jalan rappocini raya lorong kasat reskrim polres pinrang akp deki marizaldi membenarkan pelaku memeras korban uang pelaku mengancam menyebar rekaman bugil video call korban korban pelaku hubungan asmara berkomunikasi video call pelaku korban mengenakan baju pelaku merekam korban deki selasa pelaku uang korban mengalami kerugian mencapai rp juta korban mengirimkan uang pelaku mengancam menyebarkan video bugilnya korban terpaksa mengikuti pelaku penyidik pelaku mengakui merekam korban video call pelaku mengaku mengirimkan video keluarga rekan korban hasil rekaman memeras korban mengancam mem posting menyebar luaskan media sosial korban mengirimkan uang pelaku amankan tutupnya,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",[],[0.61350793], , 
166,bos warteg cikarang kabupaten bekasi jawa barat berinisial ew hukuman tindak perkosaan berbasis kuhp penjara dipertimbangkan berat posisi pelaku pimpinan melindungi pegawainya komisioner komnas perempuan theresia iswarini wartawan kamis ancaman senjata tajam pasca tindakan pelaku meniatkan kejahatan tindakan spontan nafsu komnas perempuan menilai ancaman hukuman pelaku polisi bergerak cepat bukti bukti serius memproses perkosaan theresia putusan hakim dikawal aparat penegak hukum menerapkan hukuman setimpal sesuai hukum berlaku keadilan korban komnas perempuan menerima informasi permintaan pendampingan korban keluarganya komnas perempuan terbuka permintaan korban keluarganya aph aparat penegak hukum memikirkan pemulihan korban ya perkosaan terabaikan pemulihannya hukum fokus pelaku korban dibantu psikolog konselor mengatasi trauma imbuhnya bos warteg cikarang berinisial ew memperkosa pegawainya polisi mengungkap motif pelaku memperkosa korban berusia,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['informasi', 'kejahatan', 'mengungkap']",[0.22450663], , 
167,pria bernama andri alias indri ditangkap aparat kepolisian terkait pencurian pria terekam cctv kerap mencuri hp indekos wilayah kecamatan tamalanrea makassar sulawesi selatan sulsel pelaku diamankan tim semut merah polsek tamalanrea diback up unit jatanras polrestabes makassar jalan deppasawi makassar andri ditangkap anggota polisi mengidentifikasi rekaman video cctv rumah kos disatroni pelaku pencurian kos kosan tim jatanras penyelidikan hasil cctv dikembangkan alhamdulillah berhasil mengamankan pelaku berinisial in kasubnit jatanras polrestabes makassar ipda nasrullah kamis nasrullah menyebut pelaku mengaku kali menyatroni rumah kos wilayah tamalanrea modus memeriksa kamar terkunci ditinggal kosong pemiliknya tertidur kamar pelaku mengincar hp milik korban hasil pengembangan in kali memasuki rumah kos kosan berhasil mengambil delapan hp kos kosan menangkap pelaku polisi menyita unit hp hasil curian beserta menangkap orang penadah hp curian pelaku polisi menyebut pelaku menjual hp hasil curian penadah harga murah jual tempat harga miring berdasarkan catatan kepolisian pelaku residivis pencurian rumah kos pelaku langsung diserahkan mapolsek tamalanrea pemeriksaan pelaku residivis diamankan menyerahkan pelaku polsek tamalanrea beserta barang bukti baju hp dicuri kos kosan imbuhnya,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['pemeriksaan', 'mata', 'mengambil']",[0.26343026], , 
168,polisi menangkap narapidana lapas lampung iwan saputra dugaan iya temukan unit ketiga hp dipakai menghubungi korban mengakses akun facebook palsu pakai foto profil anggota polri andri andri mengusut iwan hp polisi berkoordinasi lapas kelas ii b gunung sugih lampung iwan ditangkap ditreskrimsus polda riau januari penangkapan laporan korban riau diperas rp juta pemerasan pelaku iwan akun facebook palsu memakai foto profil anggota polri kenal pelaku nomor whatsapp korban berstatus janda vcs vcs iwan diduga merekam layar gambar dipakai pelaku memeras ancaman disebar korban uang,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]",['diduga'],[0.28190459], , 
169,tujuh orang warga ditangkap gerebek kampung narkoba gkn kecamatan sei bingai langkat sumatera utara sumut orang diduga positif petugas mengamankan tujuh orang kasi humas polres binjai iptu junaidi wartawan kamis junaidi berdasarkan informasi masyarakat petugas gabungan rabu kemarin bergerak lokasi desa namu ukur sei bingai lokasi petugas langsung melaksanakan penggerebekan dibantu masyarakat gkn petugas berhasil menangkap tujuh orang warga barang bukti ketujuh warga barang bukti narkoba jenis ganja sabu dibawa polres binjai proses ketujuh warga diamankan ug m zs hs pg eg zu positif narkoba,what,peristiwa apa yang terjadi pada berita tersebut,"['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']","[['celurit membacok', 'membacok saudara', 'dijumpainya aris', 'kantor berita', 'tetangganya membacok', 'membacok kabur', 'kabur membacok', 'dihimpun peristiwa', 'peristiwa wib', 'sebilah celurit'], ['aksi', 'informasi', 'dihimpun', 'wib', 'diduga', 'aksinya', 'sebilah', 'korbannya', 'tetangga', 'aris', 'setiawan', 'saksi', 'mata', 'ibunya', 'mengambil', 'tetangganya', 'kabur', 'silakan', 'puluh', 'geng', 'menggerebek', 'melibatkan', 'kota', 'varginha', 'delapan'], ['pembunuhan', 'pembunuhan pemeriksaan', 'diberitakan', 'tersangka dilaporkan', 'kejahatan', 'kekuatan berwenang', 'pemeriksaan', 'dibantu pelaku', 'kekuatan', 'puluh anggota', 'mengungkap', 'dibunuhnya dibantu', 'selengkapnya', 'dipanggilnya diinterogasi', 'dipanggilnya', 'selengkapnya remaja', 'penyelidikan', 'terpaksa menangguhkan', 'tetangganya', 'pemeriksaan warga'], ['terjadinya', 'mempedulikan', 'kepentingannya', 'dipersalahkan', 'merebaknya', 'timbulnya', 'rusaknya', 'pengungkapan', 'menyalahi', 'munculnya']]","['informasi', 'diduga', 'mata']",[0.13074409], , 
