title,date,description,nama
Kompolnas Minta AKBP Mustari Pemerkosa Remaja Putri di Sulsel Dihukum Berat,"Sabtu, 12 Mar 2022 08:29 WIB",akbp mustari dipecat hormat polda sulawesi selatan diduga memperkosa remaja putri 12 komisi kepolisian nasional kompolnas mengapresiasi ketegasan polda sulsel kompolnas mendukung ketegasan polda sulsel memproses hukum akbp proses pidana status tersangka uu perlindungan anak proses etik menyidangkan menjatuhkan sanksi ptdh komisioner kompolnas poengky indarti wartawan jumat 1132022 poengky tindakan kekerasan seksual akbp mustari mencoreng citra polisi dugaan kekerasan seksual pelaku korban kejam merusak nama institusi polri nila setitik rusak susu sebelanga poengky berharap proses penyidikan pidana berjalan transparan den profesional akbp mustari dihukum berat berharap proses penyidikan pidana berjalan lancar profesional transparan akuntabel dukungan scientific crime investigation hasilnya valid berharap dugaan korbankorban laporkan polda sulsel diproses bersangkutan aparat penegak hukum melindungi korban kejahatan kejam memperkosa korban berkalikali layak dihukum pemberatan poengky akbp mustari dipecat polisi sulsel akbp mustari tersangka pemerkosa menjadikan remaja putri budak seks dipecat hormat sanksi pemberhentian hormat ptdh akbp mustari diputuskan sidang etik propam polda sulsel hasilnya menjatuhkan sanksi sanksi sifatnya administratif perilaku pelanggaran dinyatakan perbuatan tercela ketua sidang kode etik kombes afriandi mapolda sulsel dikutip jumat 1132022 sanksi sifatnya administratif direkomendasikan pemberhentian hormat ptdh dinas kepolisian negara republik indonesia sambung afriandi afriandi akbp mustari resmi dipecat berdasarkan hasil sidang kode etik terduga pelanggar akbp mustari terbukti melanggar kode etik profesi polri melanggar pasal ayat huruf peraturan kapolri perkap nomor 14 2011 kode etik profesi polri afriandi diduga perkosa remaja putri 12 akbp mustari diduga memperkosa korban 12 terungkap dibacakan kabid propam polda sulsel kombes agoeng adi koerniawan oktober 2021 25 februari 2022 mustari hubungan badan layaknya suamiistri perbuatan cabul total 12 saksi korban agoeng persidangan agoeng oktober 2021 akbp mustari diduga memperkosa korban akbp mustari aksinya november 2021 desember januari 2022 februari 2022 tanggal 25 februari 2022 2000 wita agoeng agoeng membeberkan pengakuan korban akbp mustari kerap uang memperkosa korban,"mustari, afriandi, agoeng adi koerniawan"
"AKBP Mustari Tetap Bantah Perkosa Remaja di Gowa, Berharap Vonis Bebas","Rabu, 08 Jun 2022 10:20 WIB",akbp mustari terdakwa pemerkosaan remaja putri kabupaten gowa berharap hakim menjatuhkan vonis bebas perwira menengah pamen polda sulawesi selatan sulsel pernyataannya membantah tudingan korban dilansir rabu 862022 penasihat hukum akbp mustari erwin mahmud kliennya memperkosa terduga korban pemerkosaan erwin korban berteriak bukti saksi persetubuhan logikanya anak diperkosa lingkup tetangga bahasa teriak otomatis erwin kliennya kecewa lantaran eksepsinya ditolak majelis hakim sidang putusan senin 66 erwin menyebut penolakan eksepsi akbp mustari tertekan psikologis kecewa hasil putusan tertekan perbuatan seakanakan diberitakan pengadilan negeri pn sungguminasa gowa sulawesi selatan sulsel menggelar sidang perdana akbp mustari perwira polda sulsel dugaan pemerkosaan akbp mustari didakwa jaksa penuntut jpu memperkosa gadis abg berkalikali saksikan perkosa siswi smp kuli bangunan purwakarta diciduk,erwin mahmud 
"AKP DK Buka Suara, Jelaskan Alasan Laporkan Mertua soal Dugaan Pencurian","Rabu, 25 Mei  2022 20:51 WIB",akp dk buka suara terkait laporan mertuanya nurmila sangadji dugaan pencurian akp dk kuasa hukumnya nefton alfares kapitan alasan melaporkan nurmila adik iparnya claudia dugaan pencurian barangbarang milik almarhum istri iptu cs anak nurmila iptu cs meninggal dunia akibat penyakit leukemia dideritanya cs meninggal dunia desember 2021 40 meninggalnya almarhumah istri dk tanggal 23 januari 2022 disepakati mertua adik ipar meninggalkan rumah tinggal rumah merawat anakanak dk tua kandung dk kuasa hukum dk nefton alfares kapitan kantor hukum raka keterangan rabu 2552022 24 januari 2022 dk pergi kantor mertua adik ipar izin kamar pribadi dk mengambil barangbarang milik almarhumah izinnya barangbarang diambil perhiasan sepatu pakaian peralatan mandi parfum mertua adik ipar pergi meninggalkan rumah baikbaik dibekali makanan tua kandung dk dk pulang rumah mandi mendapati peralatan kamar mandi tempatnya dk membersihkan dirimandi sabun mandi hand body imbuhnya dk memeriksa lemari pakaiannya betapa kagetnya mendapati pakaian almarhumah istri perhiasan sepatu parfum lainlain barangbarang pribadi milik almarhumah dk memiliki nilai sejarah almarhumah istri dk membelikan almarhumah istri barangbarang milik almarhumah lenyap dk mencoba mertua perempuannya mencoba mengkonfirmasi adik ipar dk mencoba komunikasi mertua perempuan dibodohbodohkan konfirmasi adik ipar balasan dk menimbangnimbang laporan polisi berkaitan keluarga dk memutuskan lapor polisi disomasi adik iparnya tanggal 23 februari 2022 dk somasi lawyer adik ipar dk 26 februari 2022 menentukan pilihan menempuh jalur hukum laporan polisi laporan pencurian baca halaman mertua akp dk laporkan penyidik polda metro propam mabes polri simak video dituduh mencuri mertua laporkan anggota polda metro propam polri,nurmila sangadji 
Pengakuan Tak Masuk Akal Pembunuh Pria di Bekasi: Percaya Korban Hidup Lagi,"Jumat, 20 Mei  2022 16:10 WIB",50 pembunuh pria bertato ikan kabupaten bekasi jawa barat ditangkap polisi pelaku pengakuan akal polisi percaya korban hidup barang bukti pulpen berbentuk keris berdasarkan pemeriksaan dapatkan pemeriksaan tersangka sedianya pembunuhan darah dimasukkan pulpen kabid humas polda metro jaya kombes zulpan konferensi pers jumat 2052022 membunuh korban dalih mengeluarkan ilmu kanuragan milik korban menyebut korban hidup pengakuannya orangnya hidup dilakukannya pengakuannya mempercayai hidup zulpan polisi menangkap pelaku pembunuhan pria bertato ikan raya cbl cibitung kabupaten bekasi pelaku berdalih membunuh korban darsan ditulis ihsan permintaan korban keterangan pelaku korban dibunuh lantaran korban digorok mengeluarkan ilmu kanuragan tubuh korban kabid humas polda metro jaya kombes zulpan wartawan kamis 194 pelaku ditangkap tim gabungan subdit jatanras ditreskrimum polda metro jaya satreskrim polres metro bekasi dipimpin akbp awaludin amin akbp aris timang pelaku ditangkap barang buktinya jatiasih kota bekasi rabu 185 mayat berinisial ditemukan selasa 175 1900 wib polisi olah tempat kejadian perkara tkp lokasi kejadian menemukan luka terbuka leher pria bertato video tampang pembunuh pria bertato ikan bekasi,"zulpan, ihsan, awaludin amin"
"Melawan Saat Akan Ditangkap, 2 Residivis Curanmor Pandeglang Didor Polisi","Sabtu, 06 Nov 2021 09:49 WIB",alias gadel 45 meringis kesakitan kursi rodanya residivis pencurian sepeda motor curanmor pandeglang rekannya rn 34 terpaksa dilumpuhkan timah panas lantaran mencoba kabur melawan diciduk polisi kasatreskrim polres pandeglang akp fajar mauludi diamankan dilaporkan menggasak sepeda motor milik 25 warga cikeusik pandeglang senin 111 beroperasi residivis mengincar rumah korban sepi rumah incarannya tindakan berusaha kabur melawan amankan rumahnya masingmasing wartawan pandeglang banten sabtu 6112021 fajar mengungkap residivis bui 2014 2016 2018 pencurian sepeda motor rn tercatat residivis mendekam penjara 2016 2018 pencurian sepeda motor residivis kasusnya curanmor residivis polisi mengamankan pelaku curanmor pandeglang ur 47 hs 28 pelaku diamankan dilaporkan mencuri sepeda motor milik 36 warga sukaresmi pandeglang 20 oktober 2021 laporan amankan pelaku rumahnya masingmasing residivis dipenjara 2012 2014 terang fajar mempertanggungjawabkan perbuatannya keempat pelaku curanmor ditahan mapolres pandeglang diancam pasal 363 kuhp pencurian pemberatan ancaman hukumannya tujuh kurungan penjara pungkasnya,"gadel, fajar mauludi"
Bos Cilok Pemerkosa 10 Bocah di Sukabumi Dijatuhi Hukuman Mati,"Rabu, 27 Apr 2022 01:00 WIB",abah heni dijatuhi hukuman mati palu hakim pengadilan bandung menganulir putusan 15 penjara diketok hakim pengadilan negeri pn cibadak sukabumi peristiwa abah heni terungkap personel satuan reserse kriminal polres sukabumi unit perlindungan perempuan anak ppa menciduk pria berusia 58 kamis 29 juli 2021 silam abah heni semoat diamankan polsek caringin aksinya warga pencabulan terbongkar korban mengadukan peristiwa menimpanya ketua rw melaporkan kades menghindari terduga pelaku dibawa mapolsek caringin malam kamis 297 pelaku ditahan polsek caringin malam massa berkerumun balai warga dikhawatirkan tindakan anarkis keesokan harinya pelaku dibawa diserahkan polres sukabumi pemeriksaan dedi suhendar warga jumat 3072021 polisi menggelar pendalaman terungkap korban cabul pria dikenal bos cilok mencapai 10 korbannya 10 korban disetubuhi ratarata korban tinggal kediaman pelaku tempat usaha abah kapolres sukabumi akbp dedi darmawansyah awak media senin 982021 dedi ratarata korban berusia 12 polisi mengamankan pakaian korban dijadikan barang bukti polisi memperoleh hasil visum korban pelaku beralasan mencarikan kutu korban mencari kutu tersangka melancarkan aksi cabul korban memegangi alat vital korban 10 korban disetubuhi abah dedi polisi mengamankan barang bukti visun repertum identitas baju korban pelaku bos cilok makanan ringan cemilan pelaku ancam pasal 81 ayat penjara singkar 10 20 pasal 82 ayat penjara singkat 15 denda miliar ditambah 13 ancaman pidana menimbulkan korban pungkas dedi,"heni, dedi suhendar"
"Simpan Uang Curian di Kebun Cabe-Heboh, Pria di Bangli Ditangkap","Rabu, 11 Mei  2022 21:29 WIB",aksi pria kintamani kabupaten bangli bali heboh warga geger tertangkap mencuri aksi nyelenehnya menyimpang uang hasil curian kebun cabe pelaku bahan perbincangan pria geger nyoman wijana warga banjar pinggan desa pinggan kecamatan kintamani bangli bali diduga gelap kepepet uang berjudi wijana nekat mencuri uang milik tetangganya akibat perbuatan pelaku korban nyoman santi mengalami kerugian rp 10 juta informasi dihimpun kepolisian terungkapnya aksi pencurian wijana laporan korban korban nyoman santi curiga bantal kasur berubah posisi sabtu 752022 malam perempuan renta berusia 92 posisi bantal miliknya bergeser korban lantas bergegas mengecek lemari lantaran kuncinya taruh bantal dicek nyoman santi terkejut panik uang disimpan korban lemari rp 32 juta tersisa rp 22 juta uang rp 10 juta lemari hilang uang kabarnya ditaruh tas merah diletakkan sokasi keben kejadian korban ditemani anaknya melapor polsek kintamani menindaklanjuti laporan tim opsnal polsek kintamani dipimpin kanit reskrim polsek kintamani iptu gede sudhana putra menyelidiki keberadaan pelaku memperdalam keterangan korban olah tkp saksi keterangannya selang pasca kejadian polisi berhasil membekuk pelaku nyoman wijana rumahnya banjar pinggan selasa 1052022 sekira 1700 wita banjar korban polisi sujana mengaku beraksi sabtu siang 1100 wita wijana mudah rumah korban terkunci rp 10 juta memakai judi rp juta sisanya ditanam kebun cabe area desa kapolsek kintamani kompol benyamin nikijuluw didampingi kasi humas polres bangli iptu wayan sarta pelaku mencuri uang milik warga pinggan nilainya bedabeda rp 350 ribu rp juta amankan sisa uang dicuri diambil kebun cabai alasannya ekonomi dipakai judi seraya lakukan pengembangan tkp,"nyoman wijana, sujana"
"Gegara Mencuri, Pemuda Ini Dihukum Sesi Foto Sambil Gendong Babi","Rabu, 27 Apr 2022 15:56 WIB",pemuda abiansemal badung bali nekat mencuri babi ekor nekat mencuri ekor anak babi menghadapi ancaman hukuman penjara polisi memintanya berpose menggendong babi foto dokumentasi aksi pemuda usia 23 gede agung alias gobler mencuri babi tergolong nekat tepergok mencuri anak babi kucit desa taro kecamatan tegallalang gianyar bali senin 2542022 kapolsek tegallalang akp ketut sudita pencurian anak babi laporan saksi wayan latra kerabat korban wayan gatri saksi curiga hilangnya ekor anak babi kucit milik korban kandang anak babinya hilang kandang latra menginformasikan gatri singkat cerita informasi saksi pemilik babi lantas mengecek kandang berlokasi 50 meter rumahnya sembilan anak babi miliknya hilang kandang korban memelihara 40 ekor 12 indukan 28 anak babi kejadian korban melapor polisi terang akp sudita sudita warga bernama wayan sumartika mengaku memergoki mobil bak terbuka terparkir kandang saksi sumartika membeli kelapa salah rumah warga asing mobil bak terbuka mendekatinya saksi pelaku bercakap saksi aneh wajah pelaku asing pelaku mengaku banjar kenal sudita suasana gelap sumartika menyalakan lampu handphone mengarahkannya wajah pelaku berasal banjar tatag desa taro saksi asing kenal pelaku imbuh kapolsek curiga pelaku sumartika mobil bak terbuka milik pelaku berisi kucit sumartika memilih pergi pelaku meyakinkannya membeli anak babi melanjutkan perjalanannya membeli kelapa sumartika kandang korban pelaku saksi mendengar korban kecurian lantas menceritakan korban polisi menerima laporan korban keterangan saksi polisi berhasil mengendus keberadaan pelaku menangkap pelaku rumahnya abiansemal badung selasa 2642022 dinihari pelaku mengelak dituduh mencuri babi diinterogasi pelaku mengaku babi curiannya dititip kandang babi milik temannyaungkap sudita perbuatannya mendekam sel tahanan polsek tegallalang gobler dijerat pasal 363 kuhp tindak pidana pencurian terancam hukuman penjara menghadapi ancaman hukuman hukuman berpose menggendong babi keperluan foto dokumentasi foto anggota polisi dokumentasi polisi media,"ketut sudita, sumartika"
Viral Maling Motor Siang Bolong Lempar Bondet Saat Dikepung Warga,"Minggu, 14 Nov 2021 19:10 WIB",potongan video singkat vieal potongan video rangkaian peristiwa video menampilkan pria berkaos merah meloloskan kepungan warga pria bermasker berhasil lolos mengambil tas dada dibawanya berlari temannya menunggangi motor pria memegang kemudi kabur kepungan warga kabur temannya dibonceng mengacungkan bondet mengancam warga menangkapnya pria berkaos warna abuabu melemparkan bondet meledak maling sepeda maling sepeda seru salah warga video minggu 14112021 kapolsek grati akp wilang peristiwa desa sumberdawesari kecamatan grati minggu 14112021 1230 wib aksi kondisi ramai wisata ranu grati siang kondisi ramai wilang pelaku melemparkan bondet mengacungkan celurit warga pelaku berhasil kabur iwdiwd,wilang
"Beredar Video Penyergapan di Tol Pasuruan, Polisi Lepaskan 4 Tembakan","Selasa, 12 Okt 2021 17:50 WIB",video pendek beredar aplikasi percakapan whatsapp sudut pengambilan video kendaraan gardu tol potongan salah video enam polisi berpakaian preman menyergap pikap warna hitam berhenti mengeluarkan pistol menodongkan arah kemudi polisi berteriak sopir turun kendaraan dituruti terdengar suara tembakan peringatan tembakan peringatan sopir dilepaskan tembakan peringatan sopir kenek mobil tiarap diborgol polisi polisi suara terdengar video selasa 12102021 informasi dihimpun penyergapan tim jatanras polda jatim senin 11102021 0230 wib diduga sopir kenek pikap pelaku pencurian kendaraan bermotor gerbang tol kejapanan videonya beredar fahmi salah warga sunbdh,fahmi 
"Bukannya Belajar, Siswa di Banda Aceh ini Malah Curi Motor Guru","Selasa, 19 Apr 2022 15:44 WIB",adaada kelakuan siswa sma banda aceh berinisial hm 16 belajar mencuri sepeda motor gurunya akibat kelakuannya hm berurusan polisi mendekam kantor polisi pencurian polisi menyebut hm mencuri sepeda motor milik gurunya jam menjalankan aksinya bermodalkan kunci duplikat hm mencuri motor salah satunya milik guru sekolahnya kasat reskrim polresta banda aceh kompol ryan citra yudha wartawan selasa 1942022 penangkapan hm laporan kehilangan dilaporkan guru berinisial polsek banda raya sabtu 164 mengaku motornya diparkir kompleks stadion harapan bangsa banda aceh raib personel polsek banda raya turun tangan penyelidikan menciduk hm senin 184 pemeriksaan hm mengaku mencuri motor milik kunci duplikat dibawanya sekolah pelaku mengambil sepeda motor pulang sekolah kunci duplikat tempah aksi dilakukannya melibatkan ryan pemeriksaan terungkap hm mencuri motor kawasan batoh banda aceh motor dicurinya milik jemaah salat jumat masjid desa ryan motor dicuri dikembalikan pemiliknya orangtua pelaku diselesaikan jalur media melibatkan perangkat desa ryan polisi memproses pelaku sesuai laporan pencurian dilaporkan pelaku barang bukti diamankan polresta banda aceh menyelidiki motif bersangkutan pencurian,ryan citra yudha 
Netizen Sindir Kasus Korban Begal Jadi Tersangka: Masak Begal Dilawan?,"Jumat, 15 Apr 2022 20:20 WIB",adaada ulah netizen terkait korban begal tersangka pembunuhan nusa tenggara barat ntb netizen memparodikannya menyindir fenomena video berdurasi menit nampak pria menganalogikan salah teman korban tewas dibunuh kronologi aksi pembegalan dilakukannya perlawanan disasar dibegal oke saksi teman korban kronologinya kemarin malam tepatnya lupa berempat ngebegal ngebegal sesuai prosedur pepetpepetin benarbenar kepepet kooperatif masak ngelawan cuman mengacungi golok cuman ngacungi golok temen mengacungi celurit respon respect ngelawan teman korban dibunuh terang netizen seolaholah pembegalan dilawan kekerasan korbannya menuruti pelaku begal ngebegal ngelawan ngebunuh tolonglah begal waswas ngebegal teman kayaknya besok ngebegal menyindir diberitakan kepolisian ri sorotan publik paska menetapkan korban begal lombok nusa tenggara barat ntb tersangka pembunuhan pelaku begal korban begal nama amaq sinta 34 ditahan mapolres lombok menusuk pelaku begal tewas paska aksi demonstrasi menuntut pembebasannya amaq sinta penangguhan penanganan menyandang status tersangka ancaman hukuman maksimal 15 penjara pembebasannya penjara jaminan keluarga amaq sinta kooperatif melarikam penetapan amaq sinta tersangka pembunuhan begal lepas kesaksian begal mengaku membegal amaq sinta pembegalan begal ditetapkan tersangka ditahan amaq sinta masyarakat dibegal jalan diam pembelaan amaq sinta wakapolres lombok kompol ketut tamiana wartawan terkait jumpa pers mapolres lombok selasa 1242022 tips masyarakat ketemu begal jalan salah wartawan hadir jumpa pers tamiana negara perbuatan main hakim dilarang tindakan pidana tamiana didesak tips menghadapi begal tersangka tamiana malam teman tamiana membunuh negara dilarang korbannya pelaku begal,amaq sinta
