token_0,BIO_tag_0
wahyuni,
 ,O
wardani,
 ,O
ningrum,
 ,O
astuti,
 ,O
anggraini,
 ,O
hartati,
 ,O
utami,
 ,O
retno,
 ,O
endah,
 ,O
harjo,
 ,O
rejo,
 ,O
kadus,
 ,O
kasun,
 ,O
arum,
 ,O
rejosari,
 ,O
gatak,
 ,O
drojo,
 ,O
sidodadi,
 ,O
winata,
 ,O
woro,
 ,O
anggraeni,
 ,O
puspitasari,
 ,O
yuliani,
 ,O
kadek,
 ,O
vira,
 ,O
rini,
 ,O
ardi,
 ,O
kemala,
 ,O
ratih,
 ,O
tuti,
 ,O
sanghyang,
 ,O
bhatari,
 ,O
betara,
 ,O
candrakirana,
 ,O
parwati,
 ,O
bhatara,
 ,O
nyi,
 ,O
retna,
 ,O
munding,
 ,O
rahmad,
 ,O
supriyanto,
 ,O
sugiyanto,
 ,O
nurjaman,
 ,O
sunarto,
 ,O
handoko,
 ,O
keperkasaan,
 ,O
keteguhan,
 ,O
keuletan,
 ,O
kesucian,
 ,O
keagungan,
 ,O
keikhlasan,
 ,O
hatees,
 ,O
heryadi,
 ,O
istiawan,
 ,O
dwiarso,
 ,O
subanar,
 ,O
bhidun,
 ,O
pangudi,
 ,O
berakhlak,
 ,O
pertjajah,
 ,O
mrih,
 ,O
akhlaq,
 ,O
keimanan,
 ,O
ketaqwaan,
 ,O
aqidah,
 ,O
akidah,
 ,O
beramal,
 ,O
akhlakul,
 ,O
keutamaan,
 ,O
berilmu,
 ,O
berkepribadian,
 ,O
santun,
 ,O
berkarakter,
 ,O
guyau,
 ,O
waseso,
 ,O
ketabahan,
 ,O
ketekunan,
 ,O
kesederhanaan,
 ,O
kelembutan,
 ,O
kesungguhan,
 ,O
ketegasan,
 ,O
berakhlakul,
 ,O
berakhlaqul,
 ,O
imtaq,
 ,O
akhlaqul,
 ,O
bertaqwa,
 ,O
ipteks,
 ,O
hendrawan,
 ,O
septian,
 ,O
kurniawan,
 ,O
hengky,
 ,O
juwono,
 ,O
kartasasmita,
 ,O
boedi,
 ,O
tjipto,
 ,O
soedjono,
 ,O
sunaryo,
 ,O
soesatio,
 ,O
sastro,
 ,O
hardjo,
 ,O
agoes,
 ,O
putranto,
 ,O
sudrajat,
 ,O
mulyono,
 ,O
wiyono,
 ,O
moch,
 ,O
suryanto,
 ,O
mudji,
 ,O
suhartono,
 ,O
riyana,
 ,O
ginandjar,
 ,O
hardjapamekas,
 ,O
permadi,
 ,O
arismunandar,
 ,O
supriatna,
 ,O
hamdani,
 ,O
dadang,
 ,O
suparman,
 ,O
kurniadi,
 ,O
subekti,
 ,O
akhmad,
 ,O
acep,
 ,O
anung,
 ,O
rully,
 ,O
ginanjar,
 ,O
dwimas,
 ,O
angga,
 ,O
saputro,
 ,O
satrio,
 ,O
syaiful,
 ,O
firmansyah,
 ,O
arief,
 ,O
andri,
 ,O
pambudi,
 ,O
gunadi,
 ,O
sofwan,
 ,O
sulaeman,
 ,O
suwandi,
 ,O
alfian,
 ,O
indrawan,
 ,O
wibowo,
 ,O
susanto,
 ,O
novia,
 ,O
aulia,
 ,O
safitri,
 ,O
rizki,
 ,O
gondo,
 ,O
suyitno,
 ,O
sugito,
 ,O
bawono,
 ,O
wijoyo,
 ,O
hardjakusumah,
 ,O
djojo,
 ,O
ario,
 ,O
gph,
 ,O
cokro,
 ,O
soeria,
 ,O
koesoemah,
 ,O
adji,
 ,O
asikin,
 ,O
adiningrat,
 ,O
aryo,
 ,O
kesuma,
 ,O
kolopaking,
 ,O
adri,
 ,O
millyena,
 ,O
parahitha,
 ,O
agustina,
 ,O
kusno,
 ,O
soni,
 ,O
koswara,
 ,O
broto,
 ,O
moward,
 ,O
drh,
 ,O
suardi,
 ,O
soediro,
 ,O
suyud,
 ,O
priasmoro,
 ,O
kusnan,
 ,O
sonjaya,
 ,O
pryitno,
 ,O
efendi,
 ,O
adinata,
 ,O
condro,
 ,O
maktal,
 ,O
wiku,
 ,O
hurip,
 ,O
jumeneng,
 ,O
hayuning,
 ,O
abiyoso,
 ,O
danu,
 ,O
kosasih,
 ,O
wardoyo,
 ,O
atmo,
 ,O
wahono,
 ,O
joyo,
 ,O
merto,
 ,O
ngabehi,
 ,O
soerjo,
 ,O
sindu,
 ,O
odang,
 ,O
nirwandar,
 ,O
oesman,
 ,O
sembiring,
 ,O
adhi,
 ,O
indra,
 ,O
inderanya,
 ,O
niskala,
 ,O
teja,
 ,O
darjah,
 ,O
laya,
 ,O
buana,
 ,O
graha,
 ,O
bahana,
 ,O
kencana,
 ,O
caraka,
 ,O
amik,
 ,O
stisip,
 ,O
ully,
 ,O
widjaja,
 ,O
hapsari,
 ,O
yuliana,
 ,O
dwi,
 ,O
ayuningtyas,
 ,O
prasetya,
 ,O
budianta,
 ,O
setianagara,
 ,O
atmaka,
 ,O
tut,
 ,O
lwir,
 ,O
ngr,
 ,O
nganggo,
 ,O
pantes,
 ,O
tentrem,
 ,O
prakara,
 ,O
sadaya,
 ,O
wicaksana,
 ,O
wanagiri,
 ,O
sugih,
 ,O
jina,
 ,O
buddhi,
 ,O
jnana,
 ,O
raksaka,
 ,O
sariputra,
 ,O
lingbao,
 ,O
iswara,
 ,O
acarya,
 ,O
sutta,
 ,O
abhidhamma,
 ,O
vipassana,
 ,O
sakyamuni,
 ,O
satipatthana,
 ,O
nikaya,
 ,O
samadhi,
 ,O
tipitaka,
 ,O
maitreya,
 ,O
buddha,
 ,O
fkip,
 ,O
gunadarma,
 ,O
uny,
 ,O
atmajaya,
 ,O
uninus,
 ,O
angling,
 ,O
dumex,
 ,O
datubara,
 ,O
pramudya,
 ,O
prajnaparamita,
 ,O
saraswati,
 ,O
bhavana,
 ,O
cetiya,
 ,O
prajÃ±ÄpÄramitÄ,
 ,O
usnisa,
 ,O
makayasa,
 ,O
danyonif,
 ,O
danki,
 ,O
kodiklatad,
 ,O
yonarhanud,
 ,O
rindam,
 ,O
wirasada,
 ,O
danrem,
 ,O
baktinya,
 ,O
taruna,
 ,O
pengabdian,
 ,O
purna,
 ,O
loka,
 ,O
sewaka,
 ,O
satyalancana,
 ,O
lancana,
 ,O
satyalencana,
 ,O
sistha,
 ,O
dwidya,
 ,O
nararya,
 ,O
mahaputra,
 ,O
pxsatyalancana,
 ,O
lencana,
 ,O
primagama,
 ,O
stmik,
 ,O
beraban,
 ,O
geni,
 ,O
antang,
 ,O
kemuning,
 ,O
kidang,
 ,O
bodas,
 ,O
baladhika,
 ,O
zipur,
 ,O
prasada,
 ,O
kertarajasa,
 ,O
saÅ‹,
 ,O
bethara,
 ,O
sudibya,
 ,O
á¹¡rÄ,
«,
 ,O
biring,
 ,O
sakanti,
 ,O
karso,
 ,O
narasinga,
 ,O
manasa,
 ,O
sandhi,
 ,O
yon,
 ,O
dhuaja,
 ,O
cakti,
 ,O
stkip,
 ,O
stie,
 ,O
rsu,
 ,O
kebidanan,
 ,O
keperawatan,
 ,O
sekretari,
 ,O
rsb,
 ,O
hermina,
 ,O
siwi,
 ,O
bsi,
 ,O
grha,
 ,O
lippo,
 ,O
stimik,
 ,O
pgri,
 ,O
supriadi,
 ,O
rukman,
 ,O
tohir,
 ,O
sunandar,
 ,O
mulyanto,
 ,O
pepen,
 ,O
ujang,
 ,O
suyono,
 ,O
sumarto,
 ,O
sunardi,
 ,O
yoyok,
 ,O
solihin,
 ,O
sukardi,
 ,O
sumarno,
 ,O
sumardi,
 ,O
sanyoto,
 ,O
soeparno,
 ,O
ramdani,
 ,O
kiswanto,
 ,O
lestaluhu,
 ,O
yudhi,
 ,O
novan,
 ,O
mirasih,
 ,O
inggrid,
 ,O
ririn,
 ,O
winda,
 ,O
febiola,
 ,O
hesti,
 ,O
hadju,
 ,O
anjani,
 ,O
laksmi,
 ,O
ratri,
 ,O
komala,
 ,O
krisna,
 ,O
sundari,
 ,O
galih,
 ,O
kerendahan,
 ,O
kemurahan,
 ,O
endi,
 ,O
pudji,
 ,O
nurfitriyana,
 ,O
triarona,
 ,O
cahyani,
 ,O
rahmawati,
 ,O
yulianti,
 ,O
rizka,
 ,O
annisa,
 ,O
damayanti,
 ,O
ramadhani,
 ,O
wulansari,
 ,O
oktaviani,
 ,O
febriani,
 ,O
yuli,
 ,O
evi,
 ,O
wulandari,
 ,O
fitriana,
 ,O
indrawati,
 ,O
redjeki,
 ,O
mulyati,
 ,O
maryati,
 ,O
nanik,
 ,O
dita,
 ,O
fitria,
 ,O
larasati,
 ,O
diah,
 ,O
rhesa,
 ,O
juwita,
 ,O
heni,
 ,O
yunita,
 ,O
itje,
 ,O
sagita,
 ,O
rekso,
 ,O
urip,
 ,O
karto,
 ,O
pucung,
 ,O
gunungsari,
 ,O
anyar,
 ,O
tlogo,
 ,O
kepuh,
 ,O
tapen,
 ,O
pabuaran,
 ,O
kamituwo,
 ,O
modin,
 ,O
ladu,
 ,O
kebayan,
 ,O
kades,
 ,O
petengan,
 ,O
kebonsari,
 ,O
sumberan,
 ,O
duwet,
 ,O
mayang,
 ,O
winangun,
 ,O
linggo,
 ,O
tirta,
 ,O
pudak,
 ,O
karangrejo,
 ,O
sumbersari,
 ,O
sambirejo,
 ,O
wonokerto,
 ,O
sanggrahan,
 ,O
wonorejo,
 ,O
jetak,
 ,O
jatisari,
 ,O
sumberejo,
 ,O
karangsari,
 ,O
krandon,
 ,O
papringan,
 ,O
ngentak,
 ,O
banjarejo,
 ,O
sendangsari,
 ,O
pasuruhan,
 ,O
kalirejo,
 ,O
trukan,
 ,O
slempung,
 ,O
jitar,
 ,O
janggleng,
 ,O
badran,
 ,O
sidomulyo,
 ,O
sidorejo,
 ,O
sidoharjo,
 ,O
margorejo,
 ,O
kebonagung,
 ,O
hutomo,
 ,O
palupi,
 ,O
alivia,
 ,O
novyansari,
 ,O
dwijayanti,
 ,O
reinaldi,
 ,O
yuniar,
 ,O
dhini,
 ,O
leily,
 ,O
febri,
 ,O
tomi,
 ,O
nunung,
 ,O
dinda,
 ,O
ningsih,
 ,O
shinta,
 ,O
indri,
 ,O
yanti,
 ,O
arman,
 ,O
burhan,
 ,O
sasmita,
 ,O
mutia,
 ,O
niken,
 ,O
mieke,
 ,O
nyimas,
 ,O
widyawati,
 ,O
borosngora,
 ,O
rahyang,
 ,O
hyang,
 ,O
kancana,
 ,O
wastu,
 ,O
batara,
 ,O
kahyangan,
 ,O
widayanti,
 ,O
kesawa,
 ,O
jayabhupati,
 ,O
natha,
 ,O
jinggan,
 ,O
moorthi,
 ,O
wasa,
 ,O
rajapatni,
 ,O
tetuko,
 ,O
pedanda,
 ,O
tegeh,
 ,O
jro,
 ,O
ketut,
 ,O
anglurah,
 ,O
nisweng,
 ,O
sirarya,
 ,O
sagung,
 ,O
hargo,
 ,O
sekartaji,
 ,O
anoman,
 ,O
obong,
 ,O
suradipati,
 ,O
wungu,
 ,O
gkr,
 ,O
siwa,
 ,O
durga,
 ,O
sukesi,
 ,O
kunti,
 ,O
lanjar,
 ,O
brahma,
 ,O
wisnu,
 ,O
ganesa,
 ,O
kasyapa,
 ,O
Å›rÄ,
«,
 ,O
manikmaya,
 ,O
batari,
 ,O
parameswara,
 ,O
rara,
 ,O
roro,
 ,O
nyai,
 ,O
blorong,
 ,O
jaka,
 ,O
eyang,
 ,O
mendut,
 ,O
tarub,
 ,O
pembayun,
 ,O
tjondrolukito,
 ,O
luh,
 ,O
dumilah,
 ,O
kencono,
 ,O
pramesti,
 ,O
kenanga,
 ,O
banjur,
 ,O
simbar,
 ,O
petung,
 ,O
teleng,
 ,O
sampun,
 ,O
sutikno,
 ,O
djajang,
 ,O
adjat,
 ,O
iurie,
 ,O
paryono,
 ,O
subandi,
 ,O
murod,
 ,O
supriyadi,
 ,O
suharno,
 ,O
kejantanan,
 ,O
kegagahan,
 ,O
keberanian,
 ,O
kepahlawanan,
 ,O
kesabaran,
 ,O
kegigihan,
 ,O
kedisiplinan,
 ,O
kemurnian,
 ,O
kekudusan,
 ,O
kesempurnaan,
 ,O
kesalehan,
 ,O
ketaatan,
 ,O
kebajikan,
 ,O
kemuliaan,
 ,O
surgawi,
 ,O
kemegahan,
 ,O
hikmat,
 ,O
sulistyono,
 ,O
tandyo,
 ,O
dyego,
 ,O
mahasakti,
 ,O
daryati,
 ,O
limanto,
 ,O
zulqodri,
 ,O
ariansyah,
 ,O
mursito,
 ,O
wanodya,
 ,O
supriyatno,
 ,O
antoro,
 ,O
haryoko,
 ,O
santiarto,
 ,O
jupriyadi,
 ,O
ikhsan,
 ,O
fikri,
 ,O
ihsan,
 ,O
rohman,
 ,O
fadhilah,
 ,O
qomar,
 ,O
fadhil,
 ,O
ichsan,
 ,O
fauzan,
 ,O
zein,
 ,O
rochman,
 ,O
fahmi,
 ,O
muchtar,
 ,O
zaki,
 ,O
munawar,
 ,O
makmun,
 ,O
lutfi,
 ,O
tarore,
 ,O
syifa,
 ,O
basir,
 ,O
hafiz,
 ,O
saifudin,
 ,O
afandi,
 ,O
latif,
 ,O
kholid,
 ,O
muh,
 ,O
mustofa,
 ,O
muslih,
 ,O
cahyadi,
 ,O
ryaas,
 ,O
yaqin,
 ,O
buchori,
 ,O
miftah,
 ,O
hasanah,
 ,O
jufri,
 ,O
choirul,
 ,O
abdillah,
 ,O
amri,
 ,O
muhamad,
 ,O
sabri,
 ,O
husaini,
 ,O
nizar,
 ,O
yasin,
 ,O
ridwan,
 ,O
rifai,
 ,O
rozi,
 ,O
akmal,
 ,O
fauziah,
 ,O
afiq,
 ,O
thoriq,
 ,O
farhan,
 ,O
nasrullah,
 ,O
muhidin,
 ,O
hidayati,
 ,O
syamsul,
 ,O
fuad,
 ,O
farid,
 ,O
nasrul,
 ,O
idham,
 ,O
zulfikar,
 ,O
husin,
 ,O
syukri,
 ,O
hambali,
 ,O
dimyati,
 ,O
cholil,
 ,O
sholeh,
 ,O
abdurahman,
 ,O
assegaf,
 ,O
alfin,
 ,O
alatas,
 ,O
syafaruddin,
 ,O
fairuz,
 ,O
rahmi,
 ,O
azizah,
 ,O
aqilah,
 ,O
rifky,
 ,O
jihan,
 ,O
fajri,
 ,O
sefira,
 ,O
fathir,
 ,O
ramli,
 ,O
faizal,
 ,O
zain,
 ,O
imran,
 ,O
sharifah,
 ,O
syafiq,
 ,O
anuar,
 ,O
burhanudin,
 ,O
mawardi,
 ,O
zainudin,
 ,O
anshari,
 ,O
hamdi,
 ,O
jaelani,
 ,O
baharuddin,
 ,O
gafur,
 ,O
manan,
 ,O
rauf,
 ,O
gani,
 ,O
muis,
 ,O
ghani,
 ,O
sattar,
 ,O
abdurrahim,
 ,O
subhan,
 ,O
ghozali,
 ,O
moh,
 ,O
syamsuddin,
 ,O
bisri,
 ,O
imron,
 ,O
anshori,
 ,O
rahma,
 ,O
lukum,
 ,O
irham,
 ,O
randa,
 ,O
fionista,
 ,O
salsabila,
 ,O
susilodinata,
 ,O
fikrul,
 ,O
kapriaga,
 ,O
jbr,
 ,O
budarsa,
 ,O
ainul,
 ,O
ilmi,
 ,O
jannah,
 ,O
husna,
 ,O
izzah,
 ,O
huda,
 ,O
bughury,
 ,O
hasni,
 ,O
ghazali,
 ,O
badru,
 ,O
ghifari,
 ,O
abidzar,
 ,O
uswatun,
 ,O
segaf,
 ,O
rasyid,
 ,O
jamaluddin,
 ,O
muhtadi,
 ,O
muzammil,
 ,O
zaenal,
 ,O
khairul,
 ,O
adib,
 ,O
taufik,
 ,O
jayadi,
 ,O
syahrul,
 ,O
munir,
 ,O
saiful,
 ,O
helmi,
 ,O
bachtiar,
 ,O
taher,
 ,O
abrar,
 ,O
nadira,
 ,O
fahira,
 ,O
mardiana,
 ,O
astri,
 ,O
azwan,
 ,O
liyana,
 ,O
muiz,
 ,O
amini,
 ,O
yusoff,
 ,O
ariff,
 ,O
fariha,
 ,O
faridah,
 ,O
niezam,
 ,O
fachri,
 ,O
naufal,
 ,O
iqbal,
 ,O
ferdy,
 ,O
samsudin,
 ,O
priyanto,
 ,O
ernawati,
 ,O
setyowati,
 ,O
sunarti,
 ,O
kurniawati,
 ,O
septiana,
 ,O
luthfi,
 ,O
basri,
 ,O
rustam,
 ,O
sahlan,
 ,O
chalid,
 ,O
usman,
 ,O
chatib,
 ,O
zainuddin,
 ,O
djamal,
 ,O
ust,
 ,O
hanafi,
 ,O
syafii,
 ,O
sujono,
 ,O
soepardi,
 ,O
siddiq,
 ,O
mahfudz,
 ,O
soleh,
 ,O
ustadz,
 ,O
hafidz,
 ,O
tgh,
 ,O
kamaruddin,
 ,O
alwi,
 ,O
oky,
 ,O
irwansyah,
 ,O
muchsin,
 ,O
rafiq,
 ,O
albar,
 ,O
brado,
 ,O
hariyanti,
 ,O
nurafni,
 ,O
fahrin,
 ,O
bachmid,
 ,O
nazril,
 ,O
rizkiridho,
 ,O
adly,
 ,O
sungkar,
 ,O
shireen,
 ,O
syakieb,
 ,O
syarief,
 ,O
zacky,
 ,O
mirdad,
 ,O
riska,
 ,O
novita,
 ,O
berliana,
 ,O
zahra,
 ,O
anisa,
 ,O
nabila,
 ,O
senin,
 ,O
selasa,
 ,O
sabtu,
 ,O
kamis,
 ,O
jumat,
 ,O
rabu,
 ,O
ahad,
 ,O
makassar,
 ,O
manado,
 ,O
ambon,
 ,O
kendari,
 ,O
palembang,
 ,O
makasar,
 ,O
balikpapan,
 ,O
gorontalo,
 ,O
ternate,
 ,O
banjarmasin,
 ,O
parepare,
 ,O
bitung,
 ,O
tomohon,
 ,O
sibolga,
 ,O
kupang,
 ,O
pontianak,
 ,O
tual,
 ,O
maluku,
 ,O
masohi,
 ,O
tidore,
 ,O
haruku,
 ,O
baubau,
 ,O
palopo,
 ,O
palangkaraya,
 ,O
mamuju,
 ,O
pekanbaru,
 ,O
jambi,
 ,O
bengkulu,
 ,O
surabaya,
 ,O
tanjungpinang,
 ,O
dumai,
 ,O
medan,
 ,O
ujungpandang,
 ,O
hanlan,
 ,O
menado,
 ,O
tarakan,
 ,O
samarinda,
 ,O
bontang,
 ,O
tenggarong,
 ,O
singkawang,
 ,O
sulawesi,
 ,O
sulsel,
 ,O
tolitoli,
 ,O
jailolo,
 ,O
bacan,
 ,O
gowa,
 ,O
buton,
 ,O
malaka,
 ,O
sulu,
 ,O
martapura,
 ,O
banjarbaru,
 ,O
persipare,
 ,O
takalar,
 ,O
kotamobagu,
 ,O
luwuk,
 ,O
saumlaki,
 ,O
amurang,
 ,O
pematangsiantar,
 ,O
bajawa,
 ,O
tentena,
 ,O
kabanjahe,
 ,O
padangsidimpuan,
 ,O
padangsidempuan,
 ,O
binjai,
 ,O
parapat,
 ,O
atambua,
 ,O
larantuka,
 ,O
maumere,
 ,O
pangkalpinang,
 ,O
waingapu,
 ,O
sofifi,
 ,O
sorong,
 ,O
manokwari,
 ,O
dobo,
 ,O
ampana,
 ,O
halmahera,
 ,O
minahasa,
 ,O
nias,
 ,O
tanimbar,
 ,O
amahai,
 ,O
kefamenanu,
 ,O
namlea,
 ,O
labuha,
 ,O
pangkajene,
 ,O
nuku,
 ,O
maguindanao,
 ,O
saparua,
 ,O
nusalaut,
 ,O
sameth,
 ,O
taliabu,
 ,O
kisar,
 ,O
atauro,
 ,O
wetar,
 ,O
gunungsitoli,
 ,O
pinrang,
 ,O
barru,
 ,O
sidrap,
 ,O
persepar,
 ,O
buntok,
 ,O
sampit,
 ,O
mamasa,
 ,O
bombana,
 ,O
morowali,
 ,O
sinjai,
 ,O
jeneponto,
 ,O
kolaka,
 ,O
batam,
 ,O
riau,
 ,O
bengkalis,
 ,O
bukittinggi,
 ,O
psps,
 ,O
kerinci,
 ,O
lampung,
 ,O
kepri,
 ,O
merangin,
 ,O
mukomuko,
 ,O
sumatra,
 ,O
sumbar,
 ,O
semarang,
 ,O
malang,
 ,O
jakarta,
 ,O
madiun,
 ,O
bandung,
 ,O
yogyakarta,
 ,O
surakarta,
 ,O
jember,
 ,O
bintan,
 ,O
tanjungbalai,
 ,O
ranai,
 ,O
tembilahan,
 ,O
rengat,
 ,O
prabumulih,
 ,O
padang,
 ,O
deli,
 ,O
unhas,
 ,O
tamalanrea,
 ,O
unsrat,
 ,O
supadio,
 ,O
lanuma,
 ,O
wijayandanu,
 ,O
danlanal,
 ,O
kunta,
 ,O
makorpaskhas,
 ,O
dansatpom,
 ,O
denzibang,
 ,O
kipan,
 ,O
danlanud,
 ,O
manise,
 ,O
lekatompessy,
 ,O
kauderni,
 ,O
rahajeng,
 ,O
panaikang,
 ,O
reinold,
 ,O
parani,
 ,O
kalteng,
 ,O
sangatta,
 ,O
kaltim,
 ,O
ketapang,
 ,O
sendawar,
 ,O
paringin,
 ,O
puruk,
 ,O
melak,
 ,O
malinau,
 ,O
sumatera,
 ,O
kalimantan,
 ,O
tapanuli,
 ,O
sionggang,
 ,O
kalimatan,
 ,O
sulut,
 ,O
sulteng,
 ,O
sultra,
 ,O
sumut,
 ,O
sumsel,
 ,O
kalbar,
 ,O
jabar,
 ,O
kaltara,
 ,O
buol,
 ,O
enrekang,
 ,O
bulukumba,
 ,O
sanana,
 ,O
butung,
 ,O
siau,
 ,O
kabaena,
 ,O
tobelo,
 ,O
lembeh,
 ,O
waigeo,
 ,O
sebuku,
 ,O
wajo,
 ,O
tallo,
 ,O
soppeng,
 ,O
karaeng,
 ,O
luwu,
 ,O
paser,
 ,O
selaparang,
 ,O
bantaeng,
 ,O
muna,
 ,O
konawe,
 ,O
wolio,
 ,O
tidung,
 ,O
bungku,
 ,O
melaka,
 ,O
johor,
 ,O
pasai,
 ,O
siak,
 ,O
portugis,
 ,O
voc,
 ,O
penang,
 ,O
mindanao,
 ,O
tawi,
 ,O
jolo,
 ,O
kudarat,
 ,O
barabai,
 ,O
amuntai,
 ,O
marabahan,
 ,O
mempawah,
 ,O
kuin,
 ,O
kandangan,
 ,O
langkat,
 ,O
sukadana,
 ,O
kalsel,
 ,O
persin,
 ,O
persigo,
 ,O
persim,
 ,O
persma,
 ,O
perssin,
 ,O
persipal,
 ,O
persemalra,
 ,O
pangkep,
 ,O
donggala,
 ,O
banggai,
 ,O
toli,
 ,O
tambolaka,
 ,O
kalabahi,
 ,O
tahuna,
 ,O
kakas,
 ,O
makale,
 ,O
tondano,
 ,O
rantepao,
 ,O
kwandang,
 ,O
berastagi,
 ,O
tarutung,
 ,O
sidikalang,
 ,O
balige,
 ,O
ruteng,
 ,O
ngada,
 ,O
mataloko,
 ,O
nagekeo,
 ,O
poso,
 ,O
gkst,
 ,O
parigi,
 ,O
gbkp,
 ,O
sumbul,
 ,O
pematang,
 ,O
limapuluh,
 ,O
siborongborong,
 ,O
utarakabupaten,
 ,O
rantauprapat,
 ,O
sario,
 ,O
tebingtinggi,
 ,O
payakumbuh,
 ,O
lubuklinggau,
 ,O
baturaja,
 ,O
dolok,
 ,O
limbong,
 ,O
tapian,
 ,O
borong,
 ,O
siborong,
 ,O
peranginangin,
 ,O
godang,
 ,O
bosar,
 ,O
pangaribuan,
 ,O
sipahutar,
 ,O
solor,
 ,O
amboina,
 ,O
flores,
 ,O
lembata,
 ,O
ende,
 ,O
sungailiat,
 ,O
pagaralam,
 ,O
waikabubak,
 ,O
ndao,
 ,O
kaimana,
 ,O
nabire,
 ,O
jayapura,
 ,O
fakfak,
 ,O
timika,
 ,O
tambrauw,
 ,O
sarmi,
 ,O
bekasi,
 ,O
bogor,
 ,O
tangerang,
 ,O
depok,
 ,O
ciputat,
 ,O
tasikmalaya,
 ,O
cimahi,
 ,O
purwakarta,
 ,O
cianjur,
 ,O
sukabumi,
 ,O
cikarang,
 ,O
karawang,
 ,O
cakung,
 ,O
cileungsi,
 ,O
cibubur,
 ,O
pamulang,
 ,O
garut,
 ,O
magelang,
 ,O
pekalongan,
 ,O
tegal,
 ,O
salatiga,
 ,O
purwokerto,
 ,O
jogjakarta,
 ,O
yogya,
 ,O
jogja,
 ,O
diy,
 ,O
cilegon,
 ,O
serpong,
 ,O
pandeglang,
 ,O
lebak,
 ,O
pulogadung,
 ,O
perumnas,
 ,O
mikrolet,
 ,O
cipayung,
 ,O
kalideres,
 ,O
kopaja,
 ,O
kediri,
 ,O
blitar,
 ,O
mojokerto,
 ,O
probolinggo,
 ,O
pasuruan,
 ,O
jombang,
 ,O
cilacap,
 ,O
ngawi,
 ,O
mataram,
 ,O
kraton,
 ,O
mangkunegaran,
 ,O
banyuwangi,
 ,O
lumajang,
 ,O
situbondo,
 ,O
bondowoso,
 ,O
bojonegoro,
 ,O
ciamis,
 ,O
majalengka,
 ,O
sukapura,
 ,O
pangandaran,
 ,O
sumedang,
 ,O
batujajar,
