token_0,BIO_tag_0
 ,O
aksi,
 ,O
damai,
 ,O
kantor,
 ,O
upt,
 ,O
pmp2kp,
 ,O
dinas,
 ,O
kelautan,
 ,O
perikanan,
 ,O
provinsi,
 ,O
jawa,
 ,O
timur,
 ,O
jalan,
 ,O
barong,
 ,O
banyuwangi,
 ,O
demo,
 ,O
membawa,
 ,O
banner,
 ,O
berisi,
 ,O
aspirasi,
 ,O
jurnalis,
 ,O
terkait,
 ,O
aksi,
 ,O
arogansi,
 ,O
diduga,
 ,O
pengawal,
 ,O
menteri,
 ,O
kelautan,
 ,O
perikanan,
 ,O
bertuliskan,
 ,O
sopan,
 ,O
segan,
 ,O
jurnalis,
 ,O
dilindungi,
 ,O
uu,
 ,O
pers,
 ,O
stop,
 ,O
kekerasan,
 ,O
jurnalis,
 ,O
koordinator,
 ,O
demo,
 ,O
enot,
 ,O
sugiarto,
 ,O
aksi,
 ,O
prihatin,
 ,O
arogansi,
 ,O
oknum,
 ,O
pengawal,
 ,O
menteri,
 ,O
kkp,
 ,O
jelasjelang,
 ,O
melanggar,
 ,O
uu,
 ,O
nomor,
 ,O
40,
 ,O
1999,
 ,O
kebebasan,
 ,O
pers,
 ,O
enot,
 ,O
wartawan,
 ,O
kamis,
 ,O
1832021,
 ,O
aksi,
 ,O
damai,
 ,O
wartawan,
 ,O
mendesak,
 ,O
diusut,
 ,O
tuntas,
 ,O
sesuai,
 ,O
undangundang,
 ,O
pers,
 ,O
mendesak,
 ,O
presiden,
 ,O
republik,
 ,O
indonesia,
 ,O
menginstruksikan,
 ,O
jajaran,
 ,O
kementerian,
 ,O
bawahannya,
 ,O
memahami,
 ,O
kerjakerja,
 ,O
jurnalistik,
 ,O
imbuhnya,
 ,O
ketua,
 ,O
persatuan,
 ,O
wartawan,
 ,O
indonesia,
 ,O
pwi,
 ,O
banyuwangi,
 ,O
syaifudin,
 ,O
machmud,
 ,O
tugas,
 ,O
dilindungi,
 ,O
undangundang,
 ,O
presiden,
 ,O
jokowi,
 ,O
menginstruksikan,
 ,O
jajaran,
 ,O
kementerian,
 ,O
bawahannya,
 ,O
memahami,
 ,O
tugas,
 ,O
salah,
 ,O
pegawai,
 ,O
upt,
 ,O
upt,
 ,O
pmp2kp,
 ,O
dinas,
 ,O
kelautan,
 ,O
perikanan,
 ,O
provinsi,
 ,O
jawa,
 ,O
timur,
 ,O
probo,
 ,O
menemui,
 ,O
wartawan,
 ,O
demo,
 ,O
berjanji,
 ,O
aspirasi,
 ,O
wartawan,
 ,O
pimpinan,
 ,O
atasnya,
 ,O
menangkap,
 ,O
pelaku,
 ,O
perampokan,
 ,O
perempuan,
 ,O
bernama,
 ,O
meta,
 ,O
kumalasari,
 ,O
pulogadung,
 ,O
jakarta,
 ,O
timur,
 ,O
polisi,
 ,O
mengungkap,
 ,O
peristiwa,
 ,O
perampokan,
 ,O
selasa,
 ,O
7122021,
 ,O
1920,
 ,O
wib,
 ,O
pelaku,
 ,O
memepet,
 ,O
korban,
 ,O
dalih,
 ,O
informasi,
 ,O
ban,
 ,O
mobil,
 ,O
korban,
 ,O
bocor,
 ,O
pencurian,
 ,O
pemberatan,
 ,O
modus,
 ,O
seolaholah,
 ,O
ban,
 ,O
mobil,
 ,O
korban,
 ,O
bocor,
 ,O
menyampaikannya,
 ,O
memepet,
 ,O
kendaraan,
 ,O
motor,
 ,O
kabid,
 ,O
humas,
 ,O
polda,
 ,O
metro,
 ,O
jaya,
 ,O
kombes,
 ,O
zulpan,
 ,O
mapolda,
 ,O
metro,
 ,O
jaya,
 ,O
jakarta,
 ,O
senin,
 ,O
27122021,
 ,O
total,
 ,O
pelaku,
 ,O
pelaku,
 ,O
ditangkap,
 ,O
berinisial,
 ,O
31,
 ,O
aam,
 ,O
40,
 ,O
43,
 ,O
pelaku,
 ,O
buron,
 ,O
berinisial,
 ,O
pelaku,
 ,O
menjalankan,
 ,O
peran,
 ,O
masingmasing,
 ,O
aksi,
 ,O
perampokan,
 ,O
korban,
 ,O
pelaku,
 ,O
aam,
 ,O
mendekati,
 ,O
mobil,
 ,O
korban,
 ,O
memberitahu,
 ,O
ban,
 ,O
mobil,
 ,O
korban,
 ,O
gembos,
 ,O
korban,
 ,O
menepikan,
 ,O
kendaraannya,
 ,O
pelaku,
 ,O
beraksi,
 ,O
mengalihkan,
 ,O
perhatian,
 ,O
korban,
 ,O
korban,
 ,O
lengah,
 ,O
pelaku,
 ,O
menepikan,
 ,O
kendaraan,
 ,O
mengajak,
